County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Square Footage,Georeference
New York,748198,Store,A,GOLDEN EARTH CANDY INC,GOLDEN EARTH CANDY,3635,BROADWAY,,,NEW YORK,NY,10031,0,POINT (-73.9484 40.82939)
Kings,748196,Store,A,FULTON BEBE GROCERY STORE INC,FULTON BEBE GROCERY STO,3158,FULTON STREET,,,BROOKLYN,NY,11208,1000,POINT (-73.8784 40.68189)
Kings,748195,Store,JAC,ORGANIC FRESH MARKET CORP,ORGANIC FRESH MARKET,1440,BROADWAY,,,BROOKLYN,NY,11221,4000,POINT (-73.91961 40.68807)
Kings,748194,Store,JAC,ALEX GROCERY & NEWS INC,ALEX GROCERY & NEWS,300,BROADWAY,,,BROOKLYN,NY,11211,800,POINT (-73.95803 40.70846)
Kings,748175,Store,A,MAX DEALS 1 INC,MAX DEALS,1634,CHURCH AVENUE,,,BROOKLYN,NY,11226,0,POINT (-73.96401 40.64906)
Kings,748174,Store,A,DISCOUNT BROADWAY INC,MAX DEALS,1787,BROADWAY,,,BROOKLYN,NY,11207,0,POINT (-73.90911 40.68212)
Westchester,748167,Store,JAC,DON JUANITO GROCERY & MEAT MARKET,DON JUANITO GROCERY & M,191,MAIN STREET,,,OSSINING,NY,10562,2000,POINT (-73.86181 41.16169)
Suffolk,748125,Store,JAC,IL BUCO VITA LLC,IL BUCO VITA,225,MAIN STREET,,,AMAGANSETT,NY,11930,1000,POINT (-72.14074 40.97552)
Kings,748098,Store,JAC,943 BROADWAY STAR DELI GROCERY CO,943 BROADWAY STAR DELI,943,BROADWAY,,,BROOKLYN,NY,11206,1000,POINT (-73.93538 40.69707)
Queens,748087,Store,JAC,PRINCE PROPERTY HOLDING INC,PRINCE GOURMET FOOD MAR,7410,BROADWAY,,,ELMHURST,NY,11373,1400,POINT (-73.89092 40.74647)
Nassau,748005,Store,JAC,TORRES DELI & GROCERY CORP,TORRES DELI & GROCERY,84A,BROADWAY,,,FREEPORT,NY,11520,0,POINT (-73.58106 40.65917)
